settlement_id,name,type,established_year,composite_risk,xgb_risk,ts_risk,spatial_risk,severity,growth_rate_m2yr,area_latest_m2,forecast_5yr_area,n_conf_total,n_conf_recent,leaked_ratio,zone_c_coverage,road_length_m,n_transactions,price_slope
3,Ofra,settlement,1975,0.6852,0.927,0.0722,1.0,high,112682.09861105541,5073104.819566522,6056856.923994791,6,0,0.6744186046511628,0.6143603807202621,14585.841597930155,47,-35535.08523217449
11,Givat Ze'ev,settlement,1977,0.6521,0.931,0.0739,0.8224,high,110161.74634570954,4850222.674007293,5812498.4514898565,5,0,0.24358974358974358,0.9278564431051131,21873.721838771027,78,-19321.927050974096
1,Beit El,settlement,1977,0.6381,0.9288,0.0739,0.7579,high,110092.06264312658,4846682.186188836,5809253.629214773,5,0,0.26865671641791045,0.5753456921645748,25700.516727046917,69,75652.64607416811
2,Psagot,settlement,1981,0.6381,0.8938,0.0776,0.8394,high,104907.16947666765,4407831.436111612,5326511.2222940065,6,1,0.17647058823529413,0.7772756121173962,34895.376424049115,99,52126.94929066478
7,Kochav Yaakov,settlement,1977,0.5997,0.9049,0.0739,0.6255,high,110181.63151694485,4849848.0293923365,5812541.341620921,3,1,0.15789473684210525,0.9670386600712761,9194.859697002197,54,56675.80856723203
10,Givon HaHadasha,settlement,1991,0.5816,0.8338,0.0882,0.6914,high,91822.93060544704,3400352.5321209007,4205589.438621554,5,0,0.25,0.9101467133865649,7287.880240840873,10,-45890.68778527684
12,Adam,settlement,1974,0.5694,0.9052,0.0715,0.4768,high,114129.05239528068,5195243.0826684395,6193258.1158081805,0,0,0.18181818181818182,0.8098453695953337,4822.326417871533,11,20109.405925906947
15,Kfar HaOranim,settlement,1996,0.529,0.8336,0.0948,0.4188,medium,85243.65789528831,2943300.207556079,3692737.7213185113,6,1,0.6666666666666666,0.9486329971197963,0.0,4,206986.42155039404
13,Kochav HaShachar,outpost,1977,0.5177,0.9056,0.0739,0.2136,medium,110030.6266895188,4844572.039599537,5806801.482343391,1,0,0.75,0.4335100414776763,0.0,7,5864.916216216969
9,Ateret,outpost,1981,0.4994,0.8281,0.0776,0.3102,medium,104782.97665085737,4403118.84855665,5320627.933566417,3,0,0.75,0.14074157586842437,0.0,17,60428.50205555346
14,Ma'ale Michmas,settlement,1981,0.4846,0.7491,0.0776,0.4338,medium,104904.96267025231,4408753.998264963,5327705.856811918,0,0,0.0,0.6763434682493208,4822.326417871533,0,0.0
6,Halamish,settlement,1977,0.3904,0.7364,0.074,0.0,medium,110062.11064348067,4845703.34367331,5808589.030349953,0,0,0.0,0.6399791468006498,0.0,0,0.0
4,Beit Aryeh,settlement,1981,0.3067,0.567,0.0775,0.0,low,104801.00218100566,4403990.012398881,5321015.716502355,0,0,0.0,0.8872190450755476,0.0,0,0.0
8,Talmon,settlement,1989,0.2865,0.5214,0.0859,0.0,low,94339.99354376202,3586632.153650187,4413870.229839579,0,0,0.0,0.0780530751311851,0.0,0,0.0
5,Dolev,settlement,1983,0.2845,0.5214,0.0794,0.0,low,102184.11778653739,4192697.4906422347,5087218.159776608,0,0,0.0,0.4138349371350816,0.0,0,0.0
